Format Version,1.24,Take Name,take_009,Take Notes,,Capture Frame Rate,20.000000,Export Frame Rate,20.000000,Capture Start Time,2025-01-22 11.34.48.599 ,Capture Start Frame,63174,Total Frames in Take,15904,Total Exported Frames,15904,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,base,base,base,base,base,base,chaser,chaser,chaser,chaser,chaser,chaser
,ID,8015D3CD42011EF3A0BEA211B00BCB6,8015D3CD42011EF3A0BEA211B00BCB6,8015D3CD42011EF3A0BEA211B00BCB6,8015D3CD42011EF3A0BEA211B00BCB6,8015D3CD42011EF3A0BEA211B00BCB6,8015D3CD42011EF3A0BEA211B00BCB6,DBA69F25D73D11EF3A0BEA211B00BEB6,DBA69F25D73D11EF3A0BEA211B00BEB6,DBA69F25D73D11EF3A0BEA211B00BEB6,DBA69F25D73D11EF3A0BEA211B00BEB6,DBA69F25D73D11EF3A0BEA211B00BEB6,DBA69F25D73D11EF3A0BEA211B00BEB6
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.208977,0.719472,0.526814,4982.661133,739.828491,2030.201660,0.168401,-0.121062,-0.079768,4208.089355,1247.488037,2212.221436
1,0.050000,0.213157,0.717315,0.530757,4982.658691,739.837646,2030.203369,0.166615,-0.116207,-0.081485,4208.097168,1247.496338,2212.248047
2,0.100000,0.213975,0.722494,0.535726,4982.650879,739.844543,2030.206421,0.163710,-0.116405,-0.078304,4208.103027,1247.492310,2212.241699
3,0.150000,0.213859,0.722204,0.531402,4982.651855,739.836792,2030.204102,0.164528,-0.113532,-0.080238,4208.104980,1247.491943,2212.246582
4,0.200000,0.207285,0.714068,0.524744,4982.658203,739.820007,2030.209961,0.163251,-0.118854,-0.080461,4208.091309,1247.497681,2212.232178
5,0.250000,0.213951,0.721188,0.531473,4982.651367,739.837891,2030.208374,0.166215,-0.115495,-0.081391,4208.091309,1247.501099,2212.253174
6,0.300000,0.215453,0.721934,0.534281,4982.653320,739.847717,2030.205688,0.162170,-0.111995,-0.084841,4208.101562,1247.520752,2212.262451
7,0.350000,0.215393,0.716570,0.532082,4982.661621,739.843872,2030.202637,0.160930,-0.113684,-0.083367,4208.102051,1247.512939,2212.250977
8,0.400000,0.219534,0.713284,0.531774,4982.666016,739.846619,2030.202393,0.167984,-0.119549,-0.081481,4208.092773,1247.486694,2212.224365
9,0.450000,0.217225,0.719269,0.532793,4982.659180,739.844177,2030.212646,0.168575,-0.113371,-0.081186,4208.104004,1247.489990,2212.247070
10,0.500000,0.214900,0.720274,0.538198,4982.656738,739.851135,2030.204102,0.165919,-0.116720,-0.081741,4208.097168,1247.494263,2212.235107
11,0.550000,0.217882,0.720162,0.535465,4982.655762,739.841003,2030.212158,0.138070,-0.060159,-0.065083,4208.220703,1247.487061,2212.480469
12,0.600000,0.208210,0.711619,0.528413,4982.663086,739.820740,2030.207886,0.159011,-0.101517,-0.078106,4208.130371,1247.492310,2212.306641
13,0.650000,0.211340,0.710429,0.530565,4982.660156,739.828552,2030.203369,0.165375,-0.116890,-0.080405,4208.099121,1247.489136,2212.237061
14,0.700000,0.209589,0.721100,0.526743,4982.654785,739.824463,2030.201416,0.166440,-0.116600,-0.081595,4208.098633,1247.491699,2212.231934
15,0.750000,0.209544,0.724672,0.525016,4982.655273,739.823120,2030.196411,0.167472,-0.114124,-0.083874,4208.100098,1247.502441,2212.246826
16,0.800000,0.215701,0.711469,0.531710,4982.663574,739.830933,2030.207642,0.167148,-0.112894,-0.082882,4208.105957,1247.498047,2212.253906
