Format Version,1.24,Take Name,take_008,Take Notes,,Capture Frame Rate,20.000000,Export Frame Rate,20.000000,Capture Start Time,2025-01-21 12.26.07.329 ,Capture Start Frame,119144,Total Frames in Take,15743,Total Exported Frames,15743,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,base,base,base,base,base,base,chaser,chaser,chaser,chaser,chaser,chaser
,ID,8015D3CD42011EF3A0BEA211B00BCB6,8015D3CD42011EF3A0BEA211B00BCB6,8015D3CD42011EF3A0BEA211B00BCB6,8015D3CD42011EF3A0BEA211B00BCB6,8015D3CD42011EF3A0BEA211B00BCB6,8015D3CD42011EF3A0BEA211B00BCB6,DBA69F25D73D11EF3A0BEA211B00BEB6,DBA69F25D73D11EF3A0BEA211B00BEB6,DBA69F25D73D11EF3A0BEA211B00BEB6,DBA69F25D73D11EF3A0BEA211B00BEB6,DBA69F25D73D11EF3A0BEA211B00BEB6,DBA69F25D73D11EF3A0BEA211B00BEB6
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.185378,0.756463,0.426964,4985.673340,739.179688,2009.365356,-0.256153,17.697523,0.128339,4209.885742,1248.902588,2220.271240
1,0.050000,0.182344,0.760996,0.428518,4985.661133,739.172180,2009.353394,-0.258670,17.706648,0.124667,4209.900879,1248.921509,2220.302490
2,0.100000,0.184423,0.761194,0.429695,4985.660156,739.179016,2009.362915,-0.264081,17.699987,0.126394,4209.889160,1248.931396,2220.281006
3,0.150000,0.188049,0.757654,0.432981,4985.666992,739.188232,2009.364380,-0.262532,17.707039,0.121614,4209.902344,1248.940918,2220.303467
4,0.200000,0.185349,0.757331,0.430887,4985.667969,739.182861,2009.361450,-0.261802,17.704290,0.124482,4209.892578,1248.924683,2220.299561
5,0.250000,0.185176,0.760439,0.432107,4985.663574,739.184448,2009.357178,-0.260585,17.689213,0.127727,4209.872559,1248.932251,2220.252197
6,0.300000,0.187069,0.761830,0.432176,4985.661621,739.187805,2009.353394,-0.262052,17.699871,0.125231,4209.891113,1248.935913,2220.284912
7,0.350000,0.183506,0.760277,0.428855,4985.666504,739.174377,2009.357910,-0.263104,17.708019,0.121498,4209.908203,1248.940063,2220.312744
8,0.400000,0.181285,0.758322,0.428393,4985.670898,739.176636,2009.357666,-0.262987,17.702671,0.125128,4209.894531,1248.928955,2220.291260
9,0.450000,0.191677,0.758579,0.431835,4985.666992,739.189270,2009.353149,-0.257958,17.697313,0.125038,4209.880859,1248.916870,2220.277100
10,0.500000,0.186460,0.758405,0.430513,4985.666504,739.184814,2009.360107,-0.256776,17.703653,0.125318,4209.888184,1248.914429,2220.293945
11,0.550000,0.186265,0.761491,0.431138,4985.661621,739.186462,2009.355103,-0.255460,17.704823,0.124712,4209.893066,1248.915649,2220.299316
12,0.600000,0.193183,0.756486,0.433294,4985.671875,739.198242,2009.356079,-0.260639,17.702972,0.124011,4209.895996,1248.934570,2220.292969
13,0.650000,0.181564,0.759765,0.429043,4985.661621,739.180298,2009.362915,-0.260550,17.704008,0.125338,4209.896484,1248.931274,2220.296875
14,0.700000,0.183208,0.763163,0.432215,4985.654785,739.182373,2009.358887,-0.258664,17.701073,0.125334,4209.891113,1248.928589,2220.283447
15,0.750000,0.189085,0.757978,0.434096,4985.666016,739.195435,2009.356689,-0.247311,17.691410,0.130574,4209.870117,1248.879639,2220.246826
16,0.800000,0.185601,0.756868,0.428554,4985.666016,739.186890,2009.351685,-0.254778,17.700499,0.122798,4209.886230,1248.921509,2220.278320
17,0.850000,0.184351,0.760299,0.428077,4985.666016,739.187683,2009.357910,-0.258006,17.704355,0.123524,4209.894531,1248.922363,2220.292725
