Format Version,1.24,Take Name,take_006,Take Notes,,Capture Frame Rate,20.000000,Export Frame Rate,20.000000,Capture Start Time,2025-01-21 10.09.47.521 ,Capture Start Frame,40254,Total Frames in Take,15053,Total Exported Frames,15053,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,base,base,base,base,base,base,chaser,chaser,chaser,chaser,chaser,chaser
,ID,8015D3CD42011EF3A0BEA211B00BCB6,8015D3CD42011EF3A0BEA211B00BCB6,8015D3CD42011EF3A0BEA211B00BCB6,8015D3CD42011EF3A0BEA211B00BCB6,8015D3CD42011EF3A0BEA211B00BCB6,8015D3CD42011EF3A0BEA211B00BCB6,DBA69F25D73D11EF3A0BEA211B00BEB6,DBA69F25D73D11EF3A0BEA211B00BEB6,DBA69F25D73D11EF3A0BEA211B00BEB6,DBA69F25D73D11EF3A0BEA211B00BEB6,DBA69F25D73D11EF3A0BEA211B00BEB6,DBA69F25D73D11EF3A0BEA211B00BEB6
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
34,1.700000,0.108373,-0.063587,0.423400,4489.464355,731.837830,1989.945923,-0.063412,0.483275,0.175074,3796.322021,1262.831421,2211.436279
35,1.750000,0.108058,-0.063143,0.423481,4489.465332,731.835083,1989.946289,-0.064082,0.488284,0.171079,3796.323975,1262.846191,2211.454346
36,1.800000,0.106113,-0.064532,0.416804,4489.466797,731.829834,1989.949463,-0.058581,0.486164,0.171389,3796.322510,1262.834839,2211.437256
37,1.850000,0.106035,-0.064480,0.418176,4489.467773,731.833313,1989.952759,-0.062979,0.483740,0.173102,3796.320801,1262.837524,2211.441895
38,1.900000,0.112628,-0.062250,0.422105,4489.466797,731.846008,1989.955322,-0.061126,0.485494,0.173548,3796.328125,1262.836182,2211.440186
39,1.950000,0.112652,-0.063217,0.422177,4489.466797,731.848206,1989.951904,-0.058958,0.479553,0.172505,3796.314209,1262.832886,2211.413086
40,2.000000,0.108385,-0.063372,0.423017,4489.467773,731.835449,1989.945801,-0.056754,0.477404,0.169034,3796.300293,1262.842041,2211.409424
41,2.050000,0.115342,-0.060394,0.423251,4489.459473,731.849060,1989.947144,-0.061136,0.487931,0.174237,3796.331299,1262.829224,2211.451172
42,2.100000,0.106915,-0.061925,0.419035,4489.471191,731.828552,1989.948242,-0.063443,0.487087,0.173377,3796.325195,1262.845093,2211.443604
43,2.150000,0.107357,-0.065814,0.418476,4489.471680,731.824097,1989.948120,-0.064102,0.479995,0.172664,3796.311035,1262.847168,2211.425049
44,2.200000,0.107793,-0.062050,0.419236,4489.463867,731.820557,1989.947266,-0.060861,0.479691,0.170905,3796.309814,1262.842896,2211.421875
45,2.250000,0.105845,-0.064075,0.417544,4489.466797,731.822998,1989.947021,-0.057819,0.481233,0.168534,3796.300049,1262.840454,2211.420654
46,2.300000,0.109423,-0.061890,0.418881,4489.464844,731.828979,1989.947144,-0.058990,0.481170,0.172035,3796.312500,1262.833618,2211.418213
